19:15:45.363 DEBUG | =============== MactoTV Log =============== [dlgControl.cpp:2518]
19:15:45.363 DEBUG | Product name:HD [dlgControl.cpp:2519]
19:15:45.363 DEBUG | Product version:1.0.2.7 [dlgControl.cpp:2520]
19:16:05.102 DEBUG | InstallGoDetectResolutionTimer [dlgSearchControl.cpp:1238]
18:05:31.262 DEBUG | =============== MactoTV Log =============== [dlgControl.cpp:2518]
18:05:31.263 DEBUG | Product name:HD [dlgControl.cpp:2519]
18:05:31.263 DEBUG | Product version:1.0.2.7 [dlgControl.cpp:2520]
18:05:44.637 DEBUG | InstallGoDetectResolutionTimer [dlgSearchControl.cpp:1238]
18:50:15.904 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
08:25:14.582 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
08:25:17.679 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
14:01:33.456 DEBUG | =============== MactoTV Log =============== [dlgControl.cpp:2518]
14:01:33.457 DEBUG | Product name:HD [dlgControl.cpp:2519]
14:01:33.457 DEBUG | Product version:1.0.2.7 [dlgControl.cpp:2520]
14:02:57.645 DEBUG | =============== MactoTV Log =============== [dlgControl.cpp:2518]
14:02:57.646 DEBUG | Product name:HD [dlgControl.cpp:2519]
14:02:57.646 DEBUG | Product version:1.0.2.7 [dlgControl.cpp:2520]
14:03:07.683 DEBUG | InstallGoDetectResolutionTimer [dlgSearchControl.cpp:1238]
14:44:58.756 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
14:44:58.893 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
15:44:30.000 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
15:44:30.001 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
15:44:32.686 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
15:44:32.686 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
16:41:11.290 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
16:41:11.397 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
18:24:58.437 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
18:24:58.563 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
18:24:58.858 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
18:24:58.858 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
18:40:01.766 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
18:40:01.847 DEBUG | kIOMessageSystemWillSleep [main.cpp:714]
09:10:38.732 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
09:10:38.976 DEBUG | kIOMessageSystemWillPowerOn [main.cpp:725]
09:10:42.200 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
09:10:42.200 DEBUG | kIOMessageSystemHasPoweredOn [main.cpp:730]
